mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0				𝅗𝅥=60	120.0	𝅗𝅥	60.0	0.0				
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	0									
1	1	4	4	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	1									
1	1	4	4	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	2									
2	2	6	6	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	3									
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	4									
2	2	6	6	4.0	0	0	Chord	3/2	3	1	1	1	1	5									
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	6									
2	2	6	6	0.0	0	0	FiguredBass	3/2	4	1	0									1	9		
2	2	6	6	4.0	0	0	Chord	3/2	4	1	1	1	1	7									
2	2	10	10	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	8		
2	2	10	10	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	8									
3	3	12	12	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	9									
3	3	14	14	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	10									
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	11									
3	3	12	12	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	12									
3	3	12	12	4.0	0	0	Chord	3/2	3	1	1	1	1	13									
3	3	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	14									
3	3	12	12	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	5	4	
3	3	12	12	4.0	0	0	Chord	3/2	4	1	1	1	1	15									
3	3	14	14	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	#		
3	3	16	16	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6		
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	16									
4	4	18	18	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	17									
4	4	18	18	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	18									
4	4	20	20	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	19									
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	20									
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	21									
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	22									
4	4	18	18	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	7		
4	4	18	18	4.0	0	0	Chord	3/2	4	1	1	1	1	23									
4	4	20	20	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	6		
4	4	22	22	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	24									
5	5	24	24	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	25									
5	5	26	26	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	26									
5	5	28	28	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	27									0
5	5	29	29	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	28									
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	29									
5	5	26	26	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	30									
5	5	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	31									
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	32									
5	5	26	26	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	33									
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	34									
5	5	24	24	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	9	#	
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	35									
5	5	26	26	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	7	#	
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	36									
5	5	28	28	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	5		
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	37									
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	38									
6	6	32	32	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	39									
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	40									
6	6	32	32	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	41									
6	6	35	35	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	42									
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	43									
6	6	32	32	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	44									
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	45									
6	6	30	30	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	7	5	
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	46									
6	6	32	32	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	5	4	
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	47									
6	6	34	34	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	#		
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	48									
7	7	36	36	4.0	0	0	Chord	3/2	1	1	1	1	1	49									
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	50									
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	51									
7	7	38	38	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	52									
7	7	36	36	4.0	0	0	Chord	3/2	3	1	1	1	1	53									
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	54									
7	7	36	36	4.0	0	0	Chord	3/2	4	1	1	1	1	55									
7	7	40	40	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6		
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	56									
8	8	42	42	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	57									
8	8	44	44	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	58									
8	8	46	46	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	59									
8	8	42	42	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	60									
8	8	44	44	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	61									
8	8	42	42	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	62									
8	8	44	44	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	63									
8	8	46	46	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	64									
8	8	42	42	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	9	#	
8	8	42	42	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	65									
8	8	44	44	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	7	#	
8	8	44	44	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	66									
8	8	46	46	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	5		
