mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0				𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0				
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3									
1	1	0	0	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	4									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	5									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7									
1	1	0	0	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	8									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	9									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	10									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	11									
1	1	0	0	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	12									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	13									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	14									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	15									
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17									
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	18									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	19									
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	20									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	21									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	22									
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0									1/4	4	2	
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	23									
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0									1/4	5		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	24									
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	25									
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	26									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	27									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	28									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	29									
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	30									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	31									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33									
4	4	12	12	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	34									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	35									
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	36									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	37									
