mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=160	160.0	𝅘𝅥	160.0	0.0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	0										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	1										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	2										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	3										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	4										
1	1	0	0	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	5										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	6										
1	1	0	0	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	7										
1	1	2	2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	8										
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	9										
2	2	4	4	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	10	ornamentTrill									0
2	2	11/2	11/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	11										0
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	12										
2	2	3	3	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	13										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	14										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	15										
2	2	3	3	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	16										
2	2	4	4	0.0	1/4	1/4	FiguredBass	3/4	4	1	0										1/4	6	5	
2	2	4	4	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	17										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	18										
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	19										
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	20										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	21										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	22										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	23										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	24										
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	25										
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	26										
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	27										
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	28										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	29										
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	30										
3	3	7	7	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	31										
3	3	8	8	0.0	1/2	1/2	FiguredBass	3/4	4	1	0										1/4	6		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	32										
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	33										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	34										
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	35										
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	36										
4	4	10	10	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	37	ornamentTrill									1
4	4	23/2	23/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	38										1
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	39										
4	4	9	9	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	40										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	41										
