mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1	F.I	F	I		I	I							M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	4	1	ii2	F	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
2	2	0	0	3/4	4	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
2	2	1/2	1/2	3/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	3/4	4	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	1/4	1/4	3/4	4	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
3	3	1/2	1/2	3/4	4	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
4	4	0	0	3/4	4	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
4	4	1/4	1/4	3/4	4	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	3/4	4	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	0	0	3/4	4	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
5	5	1/2	1/2	3/4	4	1	iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
6	6	0	0	3/4	4	1	ii6(2)	F	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
6	6	1/4	1/4	3/4	4	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	0	0	3/4	4	1	vi.V	F	vi		V	V							M	0	1	1, 5, 2		1	1
8	8	0	0	3/4	4	1	IV6(2)	F	vi		IV6(2)	IV		6	2				M	0	1	3, 0, 1		-1	3
8	8	1/4	1/4	3/4	4	1	IV6	F	vi		IV6	IV		6					M	0	1	3, 0, -1		-1	3
8	8	1/2	1/2	3/4	4	1	#viio	F	vi		#viio	#vii	o						o	0	1	5, 2, -1		5	5
9	9	0	0	3/4	4	1	i(4)	F	vi		i(4)	i			4				m	0	1	0, -1, 1		0	0
9	9	1/4	1/4	3/4	4	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
9	9	1/2	1/2	3/4	4	1	IV.iii6	F	IV		iii6	iii		6					m	0	0	1, 5, 4		4	1
10	10	0	0	3/4	4	1	IV6(2)	F	IV		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
10	10	1/4	1/4	3/4	4	1	IV6	F	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	10	1/2	1/2	3/4	4	1	viio	F	IV		viio	vii	o						o	0	0	5, 2, -1		5	5
11	11	0	0	3/4	4	1	I(4)	F	IV		I(4)	I			4				M	0	0	0, -1, 1		0	0
11	11	1/4	1/4	3/4	4	1	I	F	IV		I	I							M	0	0	0, 4, 1		0	0
11	11	1/2	1/2	3/4	4	1	vi.i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
12	12	0	0	3/4	4	1	iv7	F	vi		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
12	12	1/4	1/4	3/4	4	1	V(4)	F	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
12	12	5/8	5/8	3/4	4	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
13	13	0	0	3/4	4	1	i\\	F	vi		i	i						\\	m	0	1	0, -3, 1		0	0
13	13	1/4	1/4	3/4	4	1	VI6	F	vi		VI6	VI		6					M	0	1	0, -3, -4		-4	0
13	13	1/2	1/2	3/4	4	1	iio	F	vi		iio	ii	o						o	0	1	2, -1, -4		2	2
14	14	0	0	3/4	4	1	III(4)	F	vi		III(4)	III			4				M	0	1	-3, -4, -2		-3	-3
14	14	1/4	1/4	3/4	4	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
14	14	1/2	1/2	3/4	4	1	iv	F	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
15	15	0	0	3/4	4	1	V(4)	F	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
15	15	1/4	1/4	3/4	4	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
16	16	0	0	3/4	4	1	iv6(2)	F	vi		iv6(2)	iv		6	2				m	0	1	-4, 0, 1		-1	-4
16	16	1/4	1/4	3/4	4	1	iv6	F	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
16	16	1/2	1/2	3/4	4	1	iv	F	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
17	17	0	0	3/4	4	1	v65	F	vi		v65	v		65					mm7	0	1	-2, 2, -1, 1		1	-2
17	17	1/4	1/4	3/4	4	1	III6	F	vi		III6	III		6					M	0	1	1, -2, -3		-3	1
17	17	1/2	1/2	3/4	4	1	III	F	vi		III	III							M	0	1	-3, 1, -2		-3	-3
18	18	0	0	3/4	4	1	v.V7	F	v		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
18	18	1/4	1/4	3/4	4	1	VI	F	v		VI	VI							M	0	1	-4, 0, -3		-4	-4
18	18	1/2	1/2	3/4	4	1	i6	F	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
19	19	0	0	3/4	4	1	ii%65	F	v		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
19	19	1/4	1/4	3/4	4	1	V	F	v		V	V							M	0	1	1, 5, 2		1	1
20	20	0	0	3/4	4	1	I\\	F	v		I	I						\\	M	0	1	0, 4, 1		0	0
20	20	1/4	1/4	3/4	4	1	ii.i6	F	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
20	20	1/2	1/2	3/4	4	1	#viio6	F	ii		#viio6	#vii	o	6					o	0	1	2, -1, 5		5	2
21	21	0	0	3/4	4	1	i	F	ii		i	i							m	0	1	0, -3, 1		0	0
21	21	1/2	1/2	3/4	4	1	vi.iio6	F	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
