mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/8	12/8	3	1	D.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	0	0	12/8	3	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	3/8	3/8	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
3	2	3/4	3/4	12/8	3	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
4	3	0	0	12/8	3	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	3	3/8	3/8	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
4	3	3/4	3/4	12/8	3	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
4	3	9/8	9/8	12/8	3	1	viio6/V		D	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
5	4	0	0	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
5	4	3/8	3/8	12/8	3	1	V2		D	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	4	3/4	3/4	12/8	3	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	9/8	9/8	12/8	3	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	12/8	3	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	3/4	3/4	12/8	3	1	V/V		D	I		V/V	V				V			M	0	0	2, 6, 3		2	2
7	6	0	0	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
7	6	3/4	3/4	12/8	3	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	0	0	12/8	3	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	3/8	3/8	12/8	3	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	3/4	3/4	12/8	3	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
8	7	9/8	9/8	12/8	3	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	8	0	0	12/8	3	1	ii65		D	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
9	8	3/8	3/8	12/8	3	1	V(4)		D	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
9	8	5/8	5/8	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
9	8	3/4	3/4	12/8	3	1	I|IAC}		D	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
9	8	9/8	9/8	12/8	3	1	{		D	I									{		0	0				
10	9	0	0	12/8	3	1	viio(2)	ii2	D	I		viio(2)	vii	o		2				o	0	0	0, 2, -1		5	0
10	9	3/8	3/8	12/8	3	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	9	3/4	3/4	12/8	3	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
10	9	9/8	9/8	12/8	3	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
11	10	0	0	12/8	3	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	3/8	3/8	12/8	3	1	V.V6		D	V		V6	V		6					M	0	0	5, 2, 1		1	5
11	10	3/4	3/4	12/8	3	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
11	10	9/8	9/8	12/8	3	1	V6		D	V		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	0	0	12/8	3	1	IV6		D	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	11	3/8	3/8	12/8	3	1	iii6		D	V		iii6	iii		6					m	0	0	1, 5, 4		4	1
