mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	3	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/8	3/8	6/8	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	0	0	6/8	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	3/8	3/8	6/8	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	0	0	6/8	3	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	3/8	3/8	6/8	3	1	vi		d	i		vi	vi							m	1	1	-4, -7, -3		-4	-4
4	4	0	0	6/8	3	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	3/8	3/8	6/8	3	1	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	0	0	6/8	3	1	{		d	i									{		1	1				
5	5	3/8	3/8	6/8	3	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	6/8	3	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	3/8	3/8	6/8	3	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
7	7	0	0	6/8	3	1	III.I		d	III		I	I							M	1	0	0, 4, 1		0	0
7	7	3/8	3/8	6/8	3	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
8	8	0	0	6/8	3	1	IVM7	ii65(2)	d	III		IVM7	IV	M	7					MM7	1	0	-1, 3, 0, 4		-1	-1
8	8	1/8	1/8	6/8	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
8	8	3/8	3/8	6/8	3	1	I|PAC}		d	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
9	9	0	0	6/8	3	1	III{		d	III		III	III						{	M	1	0	4, 8, 5		4	4
9	9	3/8	3/8	6/8	3	1	V/III		d	III		V/III	V				III			M	1	0	5, 9, 6		5	5
10	10	0	0	6/8	3	1	iv		d	III		iv	iv							m	1	0	-1, -4, 0		-1	-1
10	10	3/8	3/8	6/8	3	1	i		d	III		i	i							m	1	0	0, -3, 1		0	0
11	11	0	0	6/8	3	1	iv7(2)		d	III		iv7(2)	iv		7	2				mm7	1	0	1, -4, 0, -3		-1	1
11	11	1/8	1/8	6/8	3	1	iv6		d	III		iv6	iv		6					m	1	0	-4, 0, -1		-1	-4
11	11	1/4	1/4	6/8	3	1	iv7		d	III		iv7	iv		7					mm7	1	0	-1, -4, 0, -3		-1	-1
11	11	3/8	3/8	6/8	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
11	11	1/2	1/2	6/8	3	1	i6		d	III		i6	i		6					m	1	0	-3, 1, 0		0	-3
12	12	0	0	6/8	3	1	iv7		d	III		iv7	iv		7					mm7	1	0	-1, -4, 0, -3		-1	-1
12	12	1/8	1/8	6/8	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
12	12	3/8	3/8	6/8	3	1	i|PAC}		d	III		i	i					PAC	}	m	1	0	0, -3, 1		0	0
13	13	0	0	6/8	3	1	III{		d	III		III	III						{	M	1	0	4, 8, 5		4	4
13	13	3/8	3/8	6/8	3	1	V/III		d	III		V/III	V				III			M	1	0	5, 9, 6		5	5
14	14	0	0	6/8	3	1	iv		d	III		iv	iv							m	1	0	-1, -4, 0		-1	-1
14	14	3/8	3/8	6/8	3	1	i		d	III		i	i							m	1	0	0, -3, 1		0	0
15	15	0	0	6/8	3	1	iv7(2)		d	III		iv7(2)	iv		7	2				mm7	1	0	1, -4, 0, -3		-1	1
15	15	1/8	1/8	6/8	3	1	iv6		d	III		iv6	iv		6					m	1	0	-4, 0, -1		-1	-4
15	15	1/4	1/4	6/8	3	1	iv7		d	III		iv7	iv		7					mm7	1	0	-1, -4, 0, -3		-1	-1
15	15	3/8	3/8	6/8	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
15	15	1/2	1/2	6/8	3	1	i6		d	III		i6	i		6					m	1	0	-3, 1, 0		0	-3
16	16	0	0	6/8	3	1	iv7		d	III		iv7	iv		7					mm7	1	0	-1, -4, 0, -3		-1	-1
16	16	1/8	1/8	6/8	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
16	16	3/8	3/8	6/8	3	1	i|PAC}		d	III		i	i					PAC	}	m	1	0	0, -3, 1		0	0
