mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	6/8	4	1	1/4	1/4	1		2	50		5
1	1	1/8	1/8	6/8	1	1	1/8	1/8	1		2	74		0
1	1	1/4	1/4	6/8	4	1	1/8	1/8	1		4	52		6
1	1	1/4	1/4	6/8	1	1	1/8	1/8	1		2	74		1
1	1	3/8	3/8	6/8	4	1	1/8	1/8	1		6	54		7
1	1	3/8	3/8	6/8	1	1	1/8	1/8	1		3	69		2
1	1	1/2	1/2	6/8	4	1	1/4	1/4	1		1	55		8
1	1	1/2	1/2	6/8	1	1	1/8	1/8	1		5	71		3
1	1	5/8	5/8	6/8	1	1	1/8	1/8	1		5	71		4
2	2	0	0	6/8	4	1	1/8	1/8	1		2	50		19
2	2	0	0	6/8	1	1	1/8	1/8	1		6	66		9
2	2	1/8	1/8	6/8	4	1	1/4	1/4	1	1	2	62		20
2	2	1/8	1/8	6/8	1	1	1/16	1/16	1		5	71		10
2	2	3/16	3/16	6/8	1	1	1/16	1/16	1		3	69		11
2	2	1/4	1/4	6/8	1	1	1/16	1/16	1		1	67		12
2	2	5/16	5/16	6/8	1	1	1/16	1/16	1		6	66		13
2	2	3/8	3/8	6/8	4	1	1/8	1/8	1	-1	2	62		21
2	2	3/8	3/8	6/8	1	1	1/8	1/8	1		4	64		14
2	2	1/2	1/2	6/8	4	1	1/4	1/4	1		7	61		22
2	2	1/2	1/2	6/8	1	1	1/16	1/16	1		3	69		15
2	2	9/16	9/16	6/8	1	1	1/16	1/16	1		1	67		16
2	2	5/8	5/8	6/8	1	1	1/16	1/16	1		6	66		17
2	2	11/16	11/16	6/8	1	1	1/16	1/16	1		4	64		18
3	3	0	0	6/8	4	1	3/8	1/4	3/2		5	59		30
3	3	0	0	6/8	1	1	1/8	1/8	1		2	62		23
3	3	1/8	1/8	6/8	1	1	1/8	1/8	1		2	74		24
3	3	1/4	1/4	6/8	1	1	1/8	1/8	1		2	74		25
3	3	3/8	3/8	6/8	4	1	1/8	1/8	1		3	57		31
3	3	3/8	3/8	6/8	1	1	1/8	1/8	1		2	74		26
3	3	1/2	1/2	6/8	4	1	1/4	1/4	1		3	45		32
3	3	1/2	1/2	6/8	1	1	1/8	1/8	1		4	76		27
3	3	5/8	5/8	6/8	1	1	1/16	1/16	1		2	74		28
3	3	11/16	11/16	6/8	1	1	1/16	1/16	1		4	76		29
4	4	0	0	6/8	4	1	3/16	1/8	3/2		2	50		44
4	4	0	0	6/8	1	1	1/8	1/8	1		6	78		33
4	4	1/8	1/8	6/8	1	1	1/8	1/8	1		6	78		34
4	4	1/8	1/8	6/8	2	1	1/8	1/8	1		3	81		39
4	4	3/16	3/16	6/8	4	1	1/16	1/16	1		4	52		45
4	4	1/4	1/4	6/8	4	1	1/16	1/16	1		6	54		46
4	4	1/4	1/4	6/8	1	1	1/8	1/8	1		6	78		35
4	4	1/4	1/4	6/8	2	1	1/8	1/8	1		3	81		40
4	4	5/16	5/16	6/8	4	1	1/16	1/16	1		8	56		47
4	4	3/8	3/8	6/8	4	1	1/8	1/8	1		3	57		48
4	4	3/8	3/8	6/8	1	1	1/8	1/8	1		7	73		36
4	4	3/8	3/8	6/8	2	1	1/8	1/8	1		4	76		41
4	4	1/2	1/2	6/8	4	1	1/4	1/4	1	1	3	57		49
4	4	1/2	1/2	6/8	1	1	1/8	1/8	1		2	74		37
4	4	1/2	1/2	6/8	2	1	1/8	1/8	1		6	78		42
4	4	5/8	5/8	6/8	1	1	1/8	1/8	1		2	74		38
4	4	5/8	5/8	6/8	2	1	1/8	1/8	1		6	78		43
5	5	0	0	6/8	4	1	1/8	1/8	1	-1	3	57		64
5	5	0	0	6/8	1	1	1/8	1/8	1		3	69		50
5	5	0	0	6/8	2	1	1/8	1/8	1		7	73		54
5	5	1/8	1/8	6/8	4	1	1/4	1/4	1		2	50		65
5	5	1/8	1/8	6/8	2	1	1/16	1/16	1		6	78		55
5	5	1/8	1/8	6/8	1	1	1/4	1/4	1	1	3	81		51
5	5	3/16	3/16	6/8	2	1	1/16	1/16	1		4	76		56
5	5	1/4	1/4	6/8	2	1	1/16	1/16	1		2	74		57
5	5	5/16	5/16	6/8	2	1	1/16	1/16	1		7	73		58
5	5	3/8	3/8	6/8	4	1	1/8	1/8	1		4	52		66
5	5	3/8	3/8	6/8	2	1	1/8	1/8	1		5	71		59
5	5	3/8	3/8	6/8	1	1	1/8	1/8	1	-1	3	81		52
5	5	1/2	1/2	6/8	4	1	1/4	1/4	1		4	40		67
5	5	1/2	1/2	6/8	2	1	1/16	1/16	1		4	76		60
5	5	1/2	1/2	6/8	1	1	1/4	1/4	1		8	80		53
5	5	9/16	9/16	6/8	2	1	1/16	1/16	1		2	74		61
5	5	5/8	5/8	6/8	2	1	1/16	1/16	1		7	73		62
5	5	11/16	11/16	6/8	2	1	1/16	1/16	1		5	71		63
6	6	0	0	6/8	4	1	1/8	1/8	1		3	45		82
6	6	0	0	6/8	2	1	1/8	1/8	1		3	69		75
6	6	0	0	6/8	1	1	1/8	1/8	1		3	81		68
6	6	1/8	1/8	6/8	4	1	1/4	1/4	1		3	57		83
6	6	1/8	1/8	6/8	1	1	1/8	1/8	1		3	69		69
6	6	1/8	1/8	6/8	2	1	1/8	1/8	1		7	73		76
6	6	1/4	1/4	6/8	1	1	1/8	1/8	1		3	69		70
6	6	1/4	1/4	6/8	2	1	1/8	1/8	1		7	73		77
6	6	3/8	3/8	6/8	4	1	1/8	1/8	1		1	55		84
6	6	3/8	3/8	6/8	1	1	1/8	1/8	1		5	71		71
6	6	3/8	3/8	6/8	2	1	1/8	1/8	1		2	74		78
6	6	1/2	1/2	6/8	4	1	1/4	1/4	1		1	55		85
6	6	1/2	1/2	6/8	1	1	1/8	1/8	1		7	73		72
6	6	1/2	1/2	6/8	2	1	1/8	1/8	1		4	76		79
6	6	5/8	5/8	6/8	1	1	1/16	1/16	1		5	71		73
6	6	5/8	5/8	6/8	2	1	1/16	1/16	1		2	74		80
