mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	0
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	1
2	2	4	4	1.5	0	0	4/4	1	1	3/8	1/4	3/2		6	78	F#5	5	2
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	3
2	2	6	6	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		1	79	G5	5	4
2	2	13/2	13/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		6	78	F#5	5	5
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	6
3	3	8	8	0.5	0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5	7
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		2	74	D5	5	15
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	8
3	3	9	9	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	9
3	3	19/2	19/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	10
3	3	10	10	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69	A4	4	11
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	73	C#5	5	16
3	3	21/2	21/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	12
3	3	11	11	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	13
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	14
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		5	71	B4	4	23
4	4	12	12	1.5	0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	17
4	4	27/2	27/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		4	76	E5	5	18
4	4	55/4	55/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	19
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	69	A4	4	24
4	4	14	14	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5	20
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	21
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	3	81	A5	5	25
4	4	31/2	31/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	78	F#5	5	22
5	5	16	16	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	26
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	3	81	A5	5	32
5	5	33/2	33/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	27
5	5	17	17	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	28
5	5	17	17	1.5	1/4	1/4	4/4	2	1	3/8	1/4	3/2		1	79	G5	5	33
5	5	35/2	35/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	29
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50	D3	3	37
5	5	18	18	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	38
5	5	18	18	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	30
5	5	37/2	37/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		3	81	A5	5	34
5	5	75/4	75/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	35
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	6	78	F#5	5	36
5	5	39/2	39/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	31
6	6	20	20	2.0	0	0	4/4	3	1	1/2	1/2	1		4	52	E3	3	49
6	6	20	20	2.0	0	0	4/4	4	1	1/2	1/2	1		4	52	E3	3	52
6	6	20	20	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	39
6	6	20	20	0.5	0	0	4/4	2	1	1/8	1/8	1	-1	6	78	F#5	5	44
6	6	41/2	41/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	71	B4	4	45
6	6	21	21	1.5	1/4	1/4	4/4	2	1	3/8	1/4	3/2		4	76	E5	5	46
6	6	43/2	43/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		6	66	F#4	4	40
6	6	87/4	87/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	41
6	6	22	22	1.5	1/2	1/2	4/4	3	1	3/8	1/4	3/2		6	54	F#3	3	50
6	6	22	22	1.5	1/2	1/2	4/4	4	1	3/8	1/4	3/2		6	54	F#3	3	53
6	6	22	22	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	42
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	69	A4	4	47
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	2	74	D5	5	48
6	6	47/2	47/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	51
6	6	47/2	47/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		3	57	A3	3	54
6	6	47/2	47/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	43
7	7	24	24	0.5	0	0	4/4	3	1	1/8	1/8	1		1	55	G3	3	66
7	7	24	24	0.5	0	0	4/4	4	1	1/8	1/8	1		1	55	G3	3	73
7	7	24	24	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	55
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	2	74	D5	5	60
7	7	49/2	49/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	67
7	7	49/2	49/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		6	54	F#3	3	74
7	7	49/2	49/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	56
7	7	25	25	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		4	52	E3	3	68
7	7	25	25	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		4	52	E3	3	75
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	57
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	73	C#5	5	61
7	7	26	26	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		2	50	D3	3	69
7	7	26	26	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		2	50	D3	3	76
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	58
7	7	26	26	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	74	D5	5	62
7	7	53/2	53/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		2	50	D3	3	70
7	7	53/2	53/2	0.5	5/8	5/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	77
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	78	F#5	5	63
7	7	27	27	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		6	54	F#3	3	71
7	7	27	27	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		6	54	F#3	3	78
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	59
7	7	27	27	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	81	A5	5	64
7	7	55/2	55/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		2	50	D3	3	72
7	7	55/2	55/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	79
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		6	78	F#5	5	65
8	8	28	28	0.5	0	0	4/4	3	1	1/8	1/8	1		3	57	A3	3	88
