mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	1	1	1/2	1/2	1		6	78		0
1	1	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71		1
1	1	3/4	3/4	4/4	1	1	1/4	1/4	1		5	83		2
2	2	0	0	4/4	1	1	1/4	1/4	1		3	81		3
2	2	1/4	1/4	4/4	1	1	1/8	1/8	1		1	79		4
2	2	3/8	3/8	4/4	1	1	1/8	1/8	1		6	78		5
2	2	1/2	1/2	4/4	1	1	1/2	1/2	1		1	79		6
3	3	0	0	4/4	1	1	1/2	1/2	1		6	78		7
3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		6	66		9
3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66		10
3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66		11
3	3	1/2	1/2	4/4	2	1	1/8	1/8	1		8	68		12
3	3	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76		8
3	3	5/8	5/8	4/4	2	1	1/8	1/8	1		8	68		13
3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		8	68		14
3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		10	70		15
4	4	0	0	4/4	2	1	1/8	1/8	1		5	71		19
4	4	0	0	4/4	1	1	1/2	1/2	1		2	74		16
4	4	1/8	1/8	4/4	2	1	1/8	1/8	1		6	66		20
4	4	1/4	1/4	4/4	2	1	1/2	1/2	1		5	71		21
4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73		17
4	4	3/4	3/4	4/4	2	1	1/4	1/4	1		3	69		22
4	4	3/4	3/4	4/4	1	1	1/4	1/4	1	1	6	78		18
5	5	0	0	4/4	2	1	3/8	1/4	3/2		8	68		31
5	5	0	0	4/4	1	1	1/8	1/8	1	-1	6	78		23
5	5	1/8	1/8	4/4	1	1	1/8	1/8	1		5	71		24
5	5	1/4	1/4	4/4	1	1	3/8	1/4	3/2		4	76		25
