mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	76	E5	5	0
1	1	7/4	7/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		6	78	F#5	5	1
1	1	2	2	0.75	1/2	1/2	4/4	1	1	3/16	1/8	3/2		8	80	G#5	5	2
1	1	11/4	11/4	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		8	80	G#5	5	3
1	1	3	3	0.75	3/4	3/4	4/4	1	1	3/16	1/8	3/2		6	78	F#5	5	4
1	1	15/4	15/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	5
2	2	4	4	1.5	0	0	4/4	2	1	3/8	1/4	3/2		5	71	B4	4	12
2	2	4	4	1.5	0	0	4/4	1	1	3/8	1/4	3/2		9	75	D#5	5	6
2	2	23/4	23/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		7	73	C#5	5	13
2	2	23/4	23/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	7
2	2	6	6	0.75	1/2	1/2	4/4	2	1	3/16	1/8	3/2		9	75	D#5	5	14
2	2	6	6	0.75	1/2	1/2	4/4	1	1	3/16	1/8	3/2		6	78	F#5	5	8
2	2	27/4	27/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		9	75	D#5	5	15
2	2	27/4	27/4	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		6	78	F#5	5	9
2	2	7	7	0.75	3/4	3/4	4/4	2	1	3/16	1/8	3/2		7	73	C#5	5	16
2	2	7	7	0.75	3/4	3/4	4/4	1	1	3/16	1/8	3/2		4	76	E5	5	10
2	2	31/4	31/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		5	71	B4	4	17
2	2	31/4	31/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		9	75	D#5	5	11
3	3	8	8	1.5	0	0	4/4	3	1	3/8	1/4	3/2		4	52	E3	3	27
3	3	8	8	1.5	0	0	4/4	4	1	3/8	1/4	3/2		4	52	E3	3	33
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		4	76	E5	5	24
3	3	8	8	1.5	0	0	4/4	1	1	3/8	1/4	3/2		8	80	G#5	5	18
3	3	39/4	39/4	0.25	7/16	7/16	4/4	3	1	1/16	1/16	1		6	54	F#3	3	28
3	3	39/4	39/4	0.25	7/16	7/16	4/4	4	1	1/16	1/16	1		6	54	F#3	3	34
3	3	39/4	39/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		3	81	A5	5	19
3	3	10	10	0.75	1/2	1/2	4/4	3	1	3/16	1/8	3/2		8	56	G#3	3	29
3	3	10	10	0.75	1/2	1/2	4/4	4	1	3/16	1/8	3/2		8	56	G#3	3	35
