mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	3	1	1/4	1/4	1		0	48	12
1	1	0	0	4/4	4	1	1/4	1/4	1		0	48	18
1	1	0	0	4/4	2	1	1/4	1/4	1		-3	75	6
1	1	0	0	4/4	1	1	3/8	1/4	3/2		1	79	0
1	1	3/8	3/8	4/4	3	1	1/8	1/8	1		0	60	13
1	1	3/8	3/8	4/4	4	1	1/8	1/8	1		0	60	19
1	1	3/8	3/8	4/4	2	1	1/8	1/8	1		-3	75	7
1	1	3/8	3/8	4/4	1	1	1/8	1/8	1		1	79	1
1	1	1/2	1/2	4/4	3	1	1/8	1/8	1		5	59	14
1	1	1/2	1/2	4/4	4	1	1/8	1/8	1		5	59	20
1	1	1/2	1/2	4/4	2	1	1/8	1/8	1		2	74	8
1	1	1/2	1/2	4/4	1	1	1/8	1/8	1		1	79	2
1	1	5/8	5/8	4/4	3	1	1/8	1/8	1		0	60	15
1	1	5/8	5/8	4/4	4	1	1/8	1/8	1		0	60	21
1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		-3	75	9
1	1	5/8	5/8	4/4	1	1	1/8	1/8	1		1	79	3
1	1	3/4	3/4	4/4	3	1	1/8	1/8	1		1	55	16
1	1	3/4	3/4	4/4	4	1	1/8	1/8	1		1	55	22
1	1	3/4	3/4	4/4	2	1	1/8	1/8	1		5	71	10
1	1	3/4	3/4	4/4	1	1	1/8	1/8	1		1	79	4
1	1	7/8	7/8	4/4	3	1	1/8	1/8	1		0	60	17
1	1	7/8	7/8	4/4	4	1	1/8	1/8	1		0	60	23
1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		-3	75	11
1	1	7/8	7/8	4/4	1	1	1/8	1/8	1		1	79	5
2	2	0	0	4/4	3	1	1/4	1/4	1		5	59	32
2	2	0	0	4/4	4	1	1/4	1/4	1		5	59	38
2	2	0	0	4/4	2	1	1/4	1/4	1		2	74	28
2	2	0	0	4/4	1	1	1/4	1/4	1		1	79	24
2	2	3/8	3/8	4/4	3	1	1/8	1/8	1		0	60	33
2	2	3/8	3/8	4/4	4	1	1/8	1/8	1		0	60	39
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		-3	75	29
2	2	3/8	3/8	4/4	1	1	1/4	1/4	1		-4	80	25
2	2	1/2	1/2	4/4	3	1	1/8	1/8	1		-2	58	34
2	2	1/2	1/2	4/4	4	1	1/8	1/8	1		-2	58	40
2	2	1/2	1/2	4/4	2	1	1/4	1/4	1		2	74	30
2	2	5/8	5/8	4/4	3	1	1/8	1/8	1		-3	51	35
2	2	5/8	5/8	4/4	4	1	1/8	1/8	1		-3	51	41
2	2	5/8	5/8	4/4	1	1	1/4	1/4	1		1	79	26
