mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	Bb.I{	Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	2.0	0.0
1	1	1/2	1/2	4/4	4	1	I(64)	Bb	I		I(64)	I			64				M	0	0	-2, -3, 1		-2	-2	0	4	0.0	0.0	1.5	0.0
1	1	3/4	3/4	4/4	4	1	I	Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
2	2	0	0	4/4	4	1	ii2	Bb	I		ii2	ii		2					mm7	0	0	-2, 0, -3, 1		0	-2	1	5	0.16666666666666666	0.0625	1.0625	0.05555555555555555
2	2	1/4	1/4	4/4	4	1	V6	Bb	I		V6	V		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.0625	0.8125	0.07142857142857142
2	2	1/2	1/2	4/4	4	1	I|IAC}	Bb	I		I	I					IAC	}	M	0	0	-2, 2, -1		-2	-2	0	12	0.0	0.0	4.0	0.0
3	3	1/2	1/2	4/4	4	1	V2/V	Bb	I		V2/V	V		2		V			Mm7	0	0	-2, 0, 4, 1		0	-2	0	5	0.0	0.0	1.125	0.0
3	3	3/4	3/4	4/4	4	1	I6/V	Bb	I		I6/V	I		6		V			M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.875	0.0
4	4	0	0	4/4	4	1	ii7/V	Bb	I		ii7/V	ii		7		V			mm7	0	0	1, -2, 2, -1		1	1	1	5	0.16666666666666666	0.0625	0.9375	0.0625
4	4	1/4	1/4	4/4	4	1	V7/V	Bb	I		V7/V	V		7		V			Mm7	0	0	0, 4, 1, -2		0	0	0	5	0.0	0.0	1.0	0.0
4	4	1/2	1/2	4/4	4	1	V|PAC}{	Bb	I		V	V					PAC	}{	M	0	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	1.75	0.0
5	5	0	0	4/4	4	1	IV6	Bb	I		IV6	IV		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.75	0.0
5	5	1/4	1/4	4/4	4	1	viio	Bb	I		viio	vii	o						o	0	0	3, 0, -3		3	3	0	4	0.0	0.0	1.25	0.0
5	5	1/2	1/2	4/4	4	1	I(4)	Bb	I		I(4)	I			4				M	0	0	-2, -3, -1		-2	-2	0	3	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	4	1	I	Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	0.75	0.0
6	6	0	0	4/4	4	1	V(4)	Bb	I		V(4)	V			4				M	0	0	-1, -2, 0		-1	-1	0	4	0.0	0.0	1.25	0.0
6	6	1/4	1/4	4/4	4	1	#viio/vi	Bb	I		#viio/vi	#vii	o			vi			o	0	0	6, 3, 0		6	6	0	3	0.0	0.0	1.0	0.0
6	6	1/2	1/2	4/4	4	1	vi(9)	Bb	I		vi(9)	vi			9				m	0	0	1, -2, 2	3	1	1	0	5	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	4	1	vi6	Bb	I		vi6	vi		6					m	0	0	-2, 2, 1		1	-2	2	3	0.4	0.25	0.5	0.3333333333333333
7	7	0	0	4/4	4	1	iii(4)	Bb	I		iii(4)	iii			4				m	0	0	2, 1, 3		2	2	0	4	0.0	0.0	1.25	0.0
7	7	1/4	1/4	4/4	4	1	iii	Bb	I		iii	iii							m	0	0	2, -1, 3		2	2	2	3	0.4	0.25	0.75	0.25
7	7	1/2	1/2	4/4	4	1	ii.V65	Bb	ii		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5	0	5	0.0	0.0	0.875	0.0
7	7	3/4	3/4	4/4	4	1	i	Bb	ii		i	i							m	0	1	0, -3, 1		0	0	0	6	0.0	0.0	0.875	0.0
8	8	0	0	4/4	4	1	iv7	Bb	ii		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1	0	4	0.0	0.0	1.125	0.0
8	8	1/4	1/4	4/4	4	1	iio6	Bb	ii		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1	0	3	0.0	0.0	1.125	0.0
8	8	3/8	3/8	4/4	4	1	iv	Bb	ii		iv	iv							m	0	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
8	8	1/2	1/2	4/4	4	1	V2	Bb	ii		V2	V		2					Mm7	0	1	-1, 1, 5, 2		1	-1	0	3	0.0	0.0	0.625	0.0
8	8	3/4	3/4	4/4	4	1	i6	Bb	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3	0	4	0.0	0.0	0.875	0.0
9	9	0	0	4/4	4	1	ii%7	Bb	ii		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2	1	5	0.16666666666666666	0.0625	0.9375	0.0625
9	9	1/4	1/4	4/4	4	1	V7	Bb	ii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
9	9	1/2	1/2	4/4	4	1	i|IAC}{	Bb	ii		i	i					IAC	}{	m	0	1	0, -3, 1		0	0	0	5	0.0	0.0	1.0	0.0
9	9	3/4	3/4	4/4	4	1	I.ii	Bb	I		ii	ii							m	0	0	0, -3, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
10	10	0	0	4/4	4	1	viio	Bb	I		viio	vii	o						o	0	0	3, 0, -3		3	3	0	3	0.0	0.0	0.75	0.0
10	10	1/4	1/4	4/4	4	1	V	Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.125	1.125	0.1
10	10	1/2	1/2	4/4	4	1	I(9)	Bb	I		I(9)	I			9				M	0	0	-2, 2, -1	0	-2	-2	0	3	0.0	0.0	0.75	0.0
10	10	3/4	3/4	4/4	4	1	I	Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	1	4	0.2	0.125	0.875	0.125
11	11	0	0	4/4	4	1	ii6(2)	Bb	I		ii6(2)	ii		6	2				m	0	0	-3, 1, 2		0	-3	0	4	0.0	0.0	1.125	0.0
11	11	1/4	1/4	4/4	4	1	V65/V	Bb	I		V65/V	V		65		V			Mm7	0	0	4, 1, -2, 0		0	4	0	5	0.0	0.0	0.875	0.0
11	11	1/2	1/2	4/4	4	1	V	Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
11	11	3/4	3/4	4/4	4	1	I6	Bb	I		I6	I		6					M	0	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
