mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	1	1	a.i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	3.0	0.0	0.0	0.375	0.0
1	1	3/8	3/8	12/8	1	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0.0	3.0	0.0	0.0	0.375	0.0
1	1	3/4	3/4	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	6.0	0.0	0.0	0.75	0.0
1	1	9/8	9/8	12/8	1	1	#viio		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	0.0	6.0	0.0	0.0	0.75	0.0
2	2	0	0	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	10.0	0.0	0.0	1.75	0.0
2	2	3/8	3/8	12/8	1	1	V7		a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	2.0	6.0	0.25	0.5	0.75	0.4
2	2	3/4	3/4	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	6.0	0.0	0.0	0.75	0.0
2	2	9/8	9/8	12/8	1	1	#viio		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	0.0	6.0	0.0	0.0	0.75	0.0
3	3	0	0	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	6.0	0.0	0.0	0.75	0.0
3	3	3/8	3/8	12/8	1	1	#viio		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	2.0	6.0	0.25	0.5	0.75	0.4
3	3	3/4	3/4	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	8.0	0.0	0.0	1.25	0.0
3	3	9/8	9/8	12/8	1	1	V7		a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0.0	6.0	0.0	0.0	0.75	0.0
4	4	0	0	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	6.0	0.0	0.0	1.25	0.0
4	4	3/8	3/8	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	0.0	4.0	0.0	0.0	0.75	0.0
4	4	3/4	3/4	12/8	1	1	iv64		a	i		iv64	iv		64					m	1	1	3, 2, -1		2	3	0.0	4.0	0.0	0.0	0.75	0.0
4	4	9/8	9/8	12/8	1	1	#viio6/iv	V43/iv	a	i		#viio6/iv	#vii	o	6		iv			o	1	1	4, 1, 7		7	4	0.0	4.0	0.0	0.0	0.75	0.0
5	5	0	0	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	10.0	0.0	0.0	1.75	0.0
5	5	3/8	3/8	12/8	1	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3	3	2.0	6.0	0.25	0.5	0.75	0.4
5	5	3/4	3/4	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	6.0	0.0	0.0	0.75	0.0
5	5	9/8	9/8	12/8	1	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7	7	0.0	6.0	0.0	0.0	0.75	0.0
6	6	0	0	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	6.0	0.0	0.0	0.75	0.0
6	6	3/8	3/8	12/8	1	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7	7	2.0	6.0	0.25	0.5	0.75	0.4
6	6	3/4	3/4	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	8.0	0.0	0.0	1.25	0.0
6	6	9/8	9/8	12/8	1	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3	3	0.0	6.0	0.0	0.0	0.75	0.0
7	7	0	0	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	2.0	4.0	0.3333333333333333	0.5	1.25	0.2857142857142857
7	7	3/8	3/8	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	3.0	2.0	0.6	1.75	1.125	0.6086956521739131
7	7	7/8	7/8	12/8	1	1	iv6(2)		a	i		iv6(2)	iv		6	2				m	1	1	-1, 3, 4		2	-1						
7	7	9/8	9/8	12/8	1	1	iv6		a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	0.0	1.0	0.0	0.0	0.375	0.0
8	8	0	0	12/8	1	1	V|HC}		a	i		V	V					HC	}	M	1	1	4, 8, 5		4	4	0.0	4.0	0.0	0.0	5.0	0.0
9	9	0	0	12/8	1	1	v.i{		a	v		i	i						{	m	1	1	4, 1, 5		4	4	0.0	3.0	0.0	0.0	0.375	0.0
9	9	3/8	3/8	12/8	1	1	#viio		a	v		#viio	#vii	o						o	1	1	9, 6, 3		9	9	0.0	3.0	0.0	0.0	0.375	0.0
9	9	3/4	3/4	12/8	1	1	i		a	v		i	i							m	1	1	4, 1, 5		4	4	0.0	6.0	0.0	0.0	0.75	0.0
9	9	9/8	9/8	12/8	1	1	#viio		a	v		#viio	#vii	o						o	1	1	9, 6, 3		9	9	0.0	6.0	0.0	0.0	0.75	0.0
