mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.0	0.0
1	1	1/4	1/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	1.0	0.0
1	1	1/2	1/2	4/4	4	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	5	0.0	0.0	1.0	0.0
1	1	3/4	3/4	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
2	2	0	0	4/4	4	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	1.25	0.0
2	2	1/4	1/4	4/4	4	1	I6/III	c	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1	0	5	0.0	0.0	1.0	0.0
2	2	1/2	1/2	4/4	4	1	ii65/III	c	i		ii65/III	ii		65		III			mm7	1	1	-4, 0, -3, -1		-1	-4	0	5	0.0	0.0	1.0	0.0
2	2	3/4	3/4	4/4	4	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
3	3	0	0	4/4	4	1	III	c	i		III	III							M	1	1	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.25	0.0
3	3	1/4	1/4	4/4	4	1	i6/v	c	i		i6/v	i		6		v			m	1	1	-2, 2, 1		1	-2	0	5	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	4	1	ii%65/v	c	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0	0	5	0.0	0.0	1.0	0.0
3	3	3/4	3/4	4/4	4	1	ii	c	i		ii	ii							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	0.75	0.0
4	4	0	0	4/4	4	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	6	0.0	0.0	1.0	0.0
4	4	1/4	1/4	4/4	4	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	0	6	0.0	0.0	1.25	0.0
4	4	1/2	1/2	4/4	4	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	5	0.0	0.0	1.0	0.0
4	4	3/4	3/4	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
5	5	0	0	4/4	4	1	i|PAC}{	c	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	1.0	0.0
5	5	1/4	1/4	4/4	4	1	III.I6	c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	5	0.0	0.0	1.0	0.0
5	5	1/2	1/2	4/4	4	1	ii65	c	III		ii65	ii		65					mm7	1	0	-4, 0, -3, -1		-1	-4	0	5	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	4	1	V	c	III		V	V							M	1	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
6	6	0	0	4/4	4	1	I(9)	c	III		I(9)	I			9				M	1	0	-3, 1, -2	-1	-3	-3	0	6	0.0	0.0	1.5	0.0
6	6	1/4	1/4	4/4	4	1	I6	c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.75	0.0
6	6	1/2	1/2	4/4	4	1	ii(9)	c	III		ii(9)	ii			9				m	1	0	-1, -4, 0	1	-1	-1	0	5	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	4	1	ii6	c	III		ii6	ii		6					m	1	0	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.75	0.0
7	7	0	0	4/4	4	1	iii(9)	c	III		iii(9)	iii			9				m	1	0	1, -2, 2	-4	1	1	0	6	0.0	0.0	1.0	0.0
7	7	1/4	1/4	4/4	4	1	iii6	c	III		iii6	iii		6					m	1	0	-2, 2, 1		1	-2	0	6	0.0	0.0	1.25	0.0
7	7	1/2	1/2	4/4	4	1	IV(9)	c	III		IV(9)	IV			9				M	1	0	-4, 0, -3	-2	-4	-4	0	5	0.0	0.0	0.75	0.0
7	7	3/4	3/4	4/4	4	1	IV6	c	III		IV6	IV		6					M	1	0	0, -3, -4		-4	0	2	4	0.3333333333333333	0.25	0.75	0.25
8	8	0	0	4/4	4	1	I(4)	c	III		I(4)	I			4				M	1	0	-3, -4, -2		-3	-3	0	6	0.0	0.0	1.25	0.0
8	8	1/4	1/4	4/4	4	1	I6	c	III		I6	I		6					M	1	0	1, -2, -3		-3	1	0	5	0.0	0.0	1.0	0.0
8	8	1/2	1/2	4/4	4	1	ii(9)	c	III		ii(9)	ii			9				m	1	0	-1, -4, 0	1	-1	-1	2	3	0.4	0.25	0.75	0.25
